City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kargasok,100,RU,1603844737,98,59.06,80.86,25.77,13.24
Yulara,0,AU,1603844737,13,-25.24,130.99,80.6,3.36
Ellisras,0,ZA,1603844737,43,-23.66,27.74,71.78,6.2
Albany,100,US,1603844702,76,42.6,-73.97,48.0,5.12
Bredasdorp,100,ZA,1603844738,88,-34.53,20.04,62.6,4.7
Clyde River,20,CA,1603844651,66,70.47,-68.59,12.2,6.93
City of San Pedro,75,PH,1603844738,70,14.35,121.02,86.0,5.82
Tessalit,0,ML,1603844738,18,20.2,1.01,77.65,8.79
Arraial do Cabo,0,BR,1603844738,94,-22.97,-42.03,73.4,13.87
Port Alfred,39,ZA,1603844739,87,-33.59,26.89,63.73,14.34
Mataura,11,NZ,1603844739,60,-46.19,168.86,60.01,1.99
Barrow,75,US,1603844539,80,71.29,-156.79,30.2,21.92
Tongren,96,CN,1603844739,71,27.72,109.19,61.54,5.66
Busselton,14,AU,1603844739,88,-33.65,115.33,61.0,8.25
Carnarvon,0,AU,1603844740,68,-24.87,113.63,71.6,24.16
Atuona,1,PF,1603844740,73,-9.8,-139.03,78.84,19.42
Rikitea,100,PF,1603844740,83,-23.12,-134.97,75.56,16.75
Tuatapere,10,NZ,1603844740,60,-46.13,167.68,60.01,1.99
Pangnirtung,0,CA,1603844741,76,66.15,-65.71,8.49,3.89
Bluff,14,NZ,1603844741,60,-46.6,168.33,60.01,1.99
Straja,90,RO,1603844741,87,47.92,25.55,52.0,9.17
Qaanaaq,94,GL,1603844741,79,77.48,-69.36,10.85,13.49
Upernavik,0,GL,1603844741,78,72.79,-56.15,16.43,5.57
Teya,100,RU,1603844468,95,60.38,92.63,25.7,9.69
Puerto Ayora,99,EC,1603844742,93,-0.74,-90.35,68.0,4.0
Japura,100,ID,1603844742,93,-0.32,102.35,75.25,1.61
Katsuura,75,JP,1603844742,68,35.13,140.3,64.99,4.7
Ushuaia,40,AR,1603844462,39,-54.8,-68.3,46.4,8.05
Punta Arenas,0,CL,1603844743,70,-53.15,-70.92,44.6,17.22
Vaini,20,TO,1603844743,73,-21.2,-175.2,77.0,12.75
Hasaki,75,JP,1603844743,82,35.73,140.83,63.0,4.7
Saskylakh,99,RU,1603844743,92,71.92,114.08,5.88,11.77
Hilo,90,US,1603844744,74,19.73,-155.09,80.6,9.17
Pevek,100,RU,1603844627,97,69.7,170.31,20.44,13.73
Santa Isabel Rio Negro,100,BR,1603844744,90,-0.41,-65.02,77.83,2.95
Southbridge,100,US,1603844744,79,42.08,-72.03,48.0,1.95
Chui,100,UY,1603844744,95,-33.7,-53.46,62.15,14.23
Bathsheba,40,BB,1603844745,83,13.22,-59.52,82.4,16.11
São João da Barra,53,BR,1603844745,90,-21.64,-41.05,74.41,15.59
Yellowknife,75,CA,1603844483,67,62.46,-114.35,17.6,4.7
Hermanus,100,ZA,1603844745,93,-34.42,19.23,61.0,1.01
Kasongo-Lunda,100,CD,1603844745,92,-6.47,16.82,71.24,1.79
Hobart,75,AU,1603844708,71,-42.88,147.33,59.0,10.29
Baruun-Urt,0,MN,1603844746,76,46.68,113.28,27.45,6.96
Pisco,0,PE,1603844692,82,-13.7,-76.22,63.0,19.46
Khatanga,50,RU,1603844746,90,71.97,102.5,-5.46,10.6
Butaritari,100,KI,1603844746,65,3.07,172.79,81.1,3.27
Poum,74,NC,1603844746,73,-20.23,164.02,77.27,13.11
Haines Junction,48,CA,1603844746,93,60.75,-137.51,30.79,2.62
Ponta do Sol,75,PT,1603844747,68,32.67,-17.1,66.2,8.05
Épernay,90,FR,1603844747,93,49.05,3.95,53.6,8.05
Flinders,72,AU,1603844747,74,-34.58,150.86,69.01,3.0
Morgan City,47,US,1603844747,83,29.7,-91.21,80.6,6.93
Ostrovnoy,100,RU,1603844747,91,68.05,39.51,43.41,21.85
Jamestown,90,US,1603844748,100,42.1,-79.24,41.0,1.05
Avarua,100,CK,1603844748,83,-21.21,-159.78,73.4,8.05
Kitimat,100,CA,1603844748,91,54.05,-128.65,50.0,2.8
Kavieng,95,PG,1603844748,65,-2.57,150.8,84.85,2.13
Rørvik,68,NO,1603844748,77,64.86,11.24,44.85,9.86
Mount Isa,0,AU,1603844585,11,-20.73,139.5,80.6,13.87
Lebu,95,CL,1603844749,83,-37.62,-73.65,50.61,11.97
Hithadhoo,99,MV,1603844749,66,-0.6,73.08,83.84,10.85
Cherskiy,100,RU,1603844749,93,68.75,161.3,13.82,8.97
São Félix do Xingu,62,BR,1603844749,78,-6.64,-51.99,77.11,3.09
Itarema,97,BR,1603844749,80,-2.92,-39.92,78.64,12.39
George Town,20,MY,1603844520,94,5.41,100.34,77.0,3.36
Prince Rupert,90,CA,1603844750,93,54.32,-130.32,48.2,2.24
Touros,75,BR,1603844750,83,-5.2,-35.46,78.8,9.17
Ribeira Grande,100,PT,1603844750,60,38.52,-28.7,62.98,3.67
Port Elizabeth,0,ZA,1603844751,82,-33.92,25.57,62.6,19.46
Kudahuvadhoo,65,MV,1603844751,78,2.67,72.89,82.54,15.17
Laguna,1,US,1603844751,18,38.42,-121.42,75.0,4.7
Hong Kong,96,HK,1603844638,71,22.29,114.16,77.0,3.0
Rochegda,100,RU,1603844751,95,62.8,43.25,40.77,8.14
Verkhnyaya Sinyachikha,90,RU,1603844752,93,57.98,61.67,26.56,7.09
Kruisfontein,23,ZA,1603844752,95,-34.0,24.73,57.99,8.59
Dukat,3,RU,1603844752,80,62.55,155.55,14.79,3.44
Port Antonio,20,JM,1603844752,83,18.18,-76.46,82.99,4.7
Monrovia,75,LR,1603844753,94,6.3,-10.8,78.8,8.01
Langsa,88,ID,1603844753,92,4.47,97.97,75.88,2.33
Boa Vista,20,BR,1603844532,49,2.82,-60.67,89.6,4.7
Rio Grande,100,BR,1603844753,99,-32.03,-52.1,63.0,8.99
Kapaa,75,US,1603844753,69,22.08,-159.32,82.4,5.82
Candelaria,89,PH,1603844753,84,13.93,121.42,80.92,3.89
Ziro,0,IN,1603844754,100,27.63,93.83,46.47,2.77
Nikolskoye,90,RU,1603844511,87,59.7,30.79,52.0,8.95
Isangel,26,VU,1603844521,68,-19.55,169.27,79.95,15.3
Port Blair,85,IN,1603844754,79,11.67,92.75,79.57,3.13
